校正代码,整体序号,操作内容,操作子内容
17152902,1,将前车身控制器模块置于车内安装部位，然后将该模块向前倾斜。,然后将该模块向前倾斜
17152902,2,将接地带安装到前车身控制器模块的下后部，然后安装将接地带固定到该模块的螺栓。,将接地带安装到前车身控制器模块的下后部
17152902,2,将接地带安装到前车身控制器模块的下后部，然后安装将接地带固定到该模块的螺栓。,然后安装将接地带固定到该模块的螺栓
17152902,3,将接地带安装到前车身控制器模块的右下侧，然后安装将接地带固定到该模块的螺栓。,将接地带安装到前车身控制器模块的右下侧
17152902,3,将接地带安装到前车身控制器模块的右下侧，然后安装将接地带固定到该模块的螺栓。,然后安装将接地带固定到该模块的螺栓
17152902,4,将接地带安装到前车身控制器模块的后上部，然后安装将接地带固定到该模块的螺栓。,将接地带安装到前车身控制器模块的后上部
17152902,4,将接地带安装到前车身控制器模块的后上部，然后安装将接地带固定到该模块的螺栓。,然后安装将接地带固定到该模块的螺栓
17152902,5,将母排滑到下部螺柱上，然后将电气线束夹  固定到前车身控制器模块的底部。,将母排滑到下部螺柱上
17152902,5,将母排滑到下部螺柱上，然后将电气线束夹  固定到前车身控制器模块的底部。,然后将电气线束夹  固定到前车身控制器模块的底部
17152902,6,安装将前车身控制器模块固定到车身的螺栓 。,安装将前车身控制器模块固定到车身的螺栓 。
17152902,7,安装将电源和接地电缆固定到前车身控制器模块的新螺母  和新螺栓。,安装将电源和接地电缆固定到前车身控制器模块的新螺母  和新螺栓。
17152902,8,将电气线束连接到前车身控制器模块连接器 。,将电气线束连接到前车身控制器模块连接器 。
17152902,9,目视检查电源和接地电缆在前车身控制器模块的相应通道中整齐地露出来，并且彼此平行。,目视检查电源和接地电缆在前车身控制器模块的相应通道中整齐地露出来，并且彼此平行。
17152902,10,将前车身控制器模块盖板安装到前车身控制器模块上，然后安装将盖板固定到该模块的螺栓 。,将前车身控制器模块盖板安装到前车身控制器模块上
17152902,10,将前车身控制器模块盖板安装到前车身控制器模块上，然后安装将盖板固定到该模块的螺栓 。,然后安装将盖板固定到该模块的螺栓 
17152902,11,将温度系统线束连接到前车身控制器模块连接器。,将温度系统线束连接到前车身控制器模块连接器。
17152902,12,紧固将吸入/液体管路固定到热膨胀阀附近车身的夹子。,紧固将吸入/液体管路固定到热膨胀阀附近车身的夹子。
17152902,13,将温度系统线束盖板安装到前车身控制器模块上，然后安装将盖板固定到该模块的螺栓,将温度系统线束盖板安装到前车身控制器模块上
17152902,13,将温度系统线束盖板安装到前车身控制器模块上，然后安装将盖板固定到该模块的螺栓,然后安装将盖板固定到该模块的螺栓
17152902,14,安装 12V 电池支架。请参阅支架 - 12V 电池（后轮驱动）（拆卸和更换）。,安装 12V 电池支架。请参阅支架 - 12V 电池（后轮驱动）（拆卸和更换）。
17152902,15,安装 12V 辅助电池。请参阅12V/低压电池（拆卸和更换）。,安装 12V 辅助电池。请参阅12V/低压电池（拆卸和更换）。
17152902,16,安装 12V 电池固定带。请参阅带 - 12V 电池（拆卸和更换）。,安装 12V 电池固定带。请参阅带 - 12V 电池（拆卸和更换）。
17152902,17,连接 12V 电源。请参阅12V/低压电源（断开和连接）。,连接 12V 电源。请参阅12V/低压电源（断开和连接）。
17152902,18,重新安装车辆固件。请参阅软件重新安装。,重新安装车辆固件。请参阅软件重新安装。
17152902,19,在 Toolbox 中，点击 Actions，在搜索字段中输入“VCFRONT”，点击“TESTRESET_VCFRONT”旁边的“Play”按钮，然后选择 Run。,点击 Actions
17152902,19,在 Toolbox 中，点击 Actions，在搜索字段中输入“VCFRONT”，点击“TESTRESET_VCFRONT”旁边的“Play”按钮，然后选择 Run。,在搜索字段中输入“VCFRONT”
17152902,19,在 Toolbox 中，点击 Actions，在搜索字段中输入“VCFRONT”，点击“TESTRESET_VCFRONT”旁边的“Play”按钮，然后选择 Run。,点击“TESTRESET_VCFRONT”旁边的“Play”按钮
17152902,19,在 Toolbox 中，点击 Actions，在搜索字段中输入“VCFRONT”，点击“TESTRESET_VCFRONT”旁边的“Play”按钮，然后选择 Run。,然后选择 Run
17152902,20,断开笔记本电脑与车辆的连接。,断开笔记本电脑与车辆的连接。
17152902,21,安装前围篦板。请参阅面板 - 前围篦网（拆卸和更换）。,安装前围篦板。请参阅面板 - 前围篦网（拆卸和更换）。
17152902,22,安装 LH 和 RH 雨刮器臂。请参阅雨刮器臂（拆卸和更换）。,安装 LH 和 RH 雨刮器臂。请参阅雨刮器臂（拆卸和更换）。
17152902,23,安装前备箱储物单元。请参阅前备箱储物单元（拆卸和更换）。,安装前备箱储物单元。请参阅前备箱储物单元（拆卸和更换）。
17152902,24,安装前备箱盖锁盖。请参阅盖板 - 前备箱盖锁（拆卸和更换）。,安装前备箱盖锁盖。请参阅盖板 - 前备箱盖锁（拆卸和更换）。
17152902,25,安装座舱进气槽。请参阅风管 - 驾驶室进气（拆卸和更换）。,安装座舱进气槽。请参阅风管 - 驾驶室进气（拆卸和更换）。
17152902,26,安装前备箱后部挡板。请参阅前备箱挡板 - 后（拆卸和更换）。,安装前备箱后部挡板。请参阅前备箱挡板 - 后（拆卸和更换）。
17152902,27,安装第二排下部座垫。请参阅座垫 - 下 - 第二排（拆卸和更换）。,安装第二排下部座垫。请参阅座垫 - 下 - 第二排（拆卸和更换）。
17152902,28,执行大灯调节程序。请参阅：大灯 - 调节 - 北美（墙壁法）大灯 - 调节 - 北美（工具法）大灯 - 调节 - EMEA（墙壁法）大灯 - 调节 - EMEA（工具法）,执行大灯调节程序。请参阅：大灯 - 调节 - 北美（墙壁法）大灯 - 调节 - 北美（工具法）大灯 - 调节 - EMEA（墙壁法）大灯 - 调节 - EMEA（工具法）
17152102,1,打开全部车门并降下全部车窗。,并降下全部车窗
17152102,2,拆下第二排下部座垫。请参阅座垫 - 下 - 第二排（拆卸和更换）。,拆下第二排下部座垫。请参阅座垫 - 下 - 第二排（拆卸和更换）。
17152102,3,拆下前备箱后部挡板。请参阅前备箱挡板 - 后（拆卸和更换）。,拆下前备箱后部挡板。请参阅前备箱挡板 - 后（拆卸和更换）。
17152102,4,断开 12V 电源。请参阅12V/低压电源（断开和连接）。,断开 12V 电源。请参阅12V/低压电源（断开和连接）。
17152102,5,拆下 LH 仪表板端盖。请参阅端盖 - 仪表板 - LH（拆卸和更换）。,拆下 LH 仪表板端盖。请参阅端盖 - 仪表板 - LH（拆卸和更换）。
17152102,6,拆下 A 柱 LH 中部饰板。请参阅饰板 - A 柱 - 中间 - LH（拆卸和更换）。,拆下 A 柱 LH 中部饰板。请参阅饰板 - A 柱 - 中间 - LH（拆卸和更换）。
17152102,7,拆下 LH A 柱下部饰板。请参阅饰板 - A 柱 - 下部 - LH（拆卸和更换）。,拆下 LH A 柱下部饰板。请参阅饰板 - A 柱 - 下部 - LH（拆卸和更换）。
17152102,8,拆下驾驶位脚部空间罩。请参阅罩 - 脚部空间 - 驾驶位（拆卸和更换）。,拆下驾驶位脚部空间罩。请参阅罩 - 脚部空间 - 驾驶位（拆卸和更换）。
17152102,9,拆下驾驶位膝部气囊。请参阅气囊 - 膝部 - 驾驶位（拆卸和更换）。,拆下驾驶位膝部气囊。请参阅气囊 - 膝部 - 驾驶位（拆卸和更换）。
17152102,10,拆下 LH 脚部空间进气槽。请参阅风管 - 脚部空间 - LH（拆卸和更换）。,拆下 LH 脚部空间进气槽。请参阅风管 - 脚部空间 - LH（拆卸和更换）。
17152102,11,松开将电气线束固定到仪表板支架的夹子。,松开将电气线束固定到仪表板支架的夹子。
17152102,12,断开将 LH 前车门电气连接器固定到 LH 车身控制器模块的夹子。,断开将 LH 前车门电气连接器固定到 LH 车身控制器模块的夹子。
17152102,13,松开连接器锁，然后断开LH 前车门电气连接器与 LH 车身控制器模块的连接。,松开连接器锁
17152102,13,松开连接器锁，然后断开LH 前车门电气连接器与 LH 车身控制器模块的连接。,然后断开LH 前车门电气连接器与 LH 车身控制器模块的连接
17152102,14,松开连接器锁，然后断开驾驶位座椅电气连接器与 LH 车身控制器模块的连接。,松开连接器锁
17152102,14,松开连接器锁，然后断开驾驶位座椅电气连接器与 LH 车身控制器模块的连接。,然后断开驾驶位座椅电气连接器与 LH 车身控制器模块的连接
17152102,15,松开连接器锁，然后断开仪表板电气连接器与 LH 车身控制器模块的连接。,松开连接器锁
17152102,15,松开连接器锁，然后断开仪表板电气连接器与 LH 车身控制器模块的连接。,然后断开仪表板电气连接器与 LH 车身控制器模块的连接
17152102,16,断开暖通空调电气连接器与 LH 车身控制器模块的连接。,断开暖通空调电气连接器与 LH 车身控制器模块的连接。
17152102,17,断开直列电气线束连接器 X909 与 LH 车身线束的连接，然后将其与 LH 车身控制器模块分离开。,断开直列电气线束连接器 X909 与 LH 车身线束的连接
17152102,17,断开直列电气线束连接器 X909 与 LH 车身线束的连接，然后将其与 LH 车身控制器模块分离开。,然后将其与 LH 车身控制器模块分离开
17152102,18,拆下并弃用将 12V 电源线固定到 LH 车身控制器模块的螺母。,拆下并弃用将 12V 电源线固定到 LH 车身控制器模块的螺母。
17152102,19,断开前侧线束连接器与 LH 车身控制器模块的连接。,断开前侧线束连接器与 LH 车身控制器模块的连接。
17152102,20,断开 3 号车身电气连接器与 LH 车身控制器模块的连接。,断开 3 号车身电气连接器与 LH 车身控制器模块的连接。
17152102,21,断开 1 号电气连接器与 LH 车身控制器模块的连接。,断开 1 号电气连接器与 LH 车身控制器模块的连接。
17152102,22,断开 2 号车身电气连接器与 LH 车身控制器模块的连接。,断开 2 号车身电气连接器与 LH 车身控制器模块的连接。
17152102,23,断开电气连接器与顶篷电气线束的连接。,断开电气连接器与顶篷电气线束的连接。
17152102,24,松开将 LH 车身控制器模块固定到车辆的电气线束夹。,松开将 LH 车身控制器模块固定到车辆的电气线束夹。
17152102,25,从 LH 车身控制器模块上移出 LH 车身线束。,从 LH 车身控制器模块上移出 LH 车身线束。
17152102,26,松开将 LH 前车门电气线束固定到 LH 车身控制器模块的夹子。,松开将 LH 前车门电气线束固定到 LH 车身控制器模块的夹子。
17152102,27,拆下并弃用将 LH 车身控制器模块固定到车辆的螺母。,拆下并弃用将 LH 车身控制器模块固定到车辆的螺母。
17152102,28,向上滑动 LH 车身控制器，以松开 W 型夹，然后从仪表板底部移出 LH 车身控制器模块。,向上滑动 LH 车身控制器
17152102,28,向上滑动 LH 车身控制器，以松开 W 型夹，然后从仪表板底部移出 LH 车身控制器模块。,以松开 W 型夹
17152102,28,向上滑动 LH 车身控制器，以松开 W 型夹，然后从仪表板底部移出 LH 车身控制器模块。,然后从仪表板底部移出 LH 车身控制器模块
17152102,29,从车上拆下 LH 车身控制器模块。,从车上拆下 LH 车身控制器模块。
