校正代码,整体序号,操作内容,操作子内容
40012602,1,拆下后轮驱动单元。请参阅驱动单元 - 后（拆卸和安装）。,拆下后轮驱动单元。请参阅驱动单元 - 后（拆卸和安装）。
40012602,2,向后套管上安装驱动单元套管工具。,向后套管上安装驱动单元套管工具。
40012602,3,旋转止推垫圈上的螺母以拆下驱动单元上的套管。,旋转止推垫圈上的螺母
40012602,3,旋转止推垫圈上的螺母以拆下驱动单元上的套管。,拆下驱动单元上的套管
40012602,4,分离套管工具，然后从驱动单元上拆下。,分离套管工具
40012602,4,分离套管工具，然后从驱动单元上拆下。,然后从驱动单元上拆下
40012602,1,安装套管工具，以套上新的套管。,安装套管工具
40012602,1,安装套管工具，以套上新的套管。,以套上新的套管
40012602,2,旋转止推垫圈上的螺母以在驱动单元上套上新的套管。,旋转止推垫圈上的螺母
40012602,2,旋转止推垫圈上的螺母以在驱动单元上套上新的套管。,在驱动单元上套上新的套管
40012602,3,分离套管工具，然后从驱动单元上拆下。,分离套管工具
40012602,3,分离套管工具，然后从驱动单元上拆下。,然后从驱动单元上拆下
40012602,4,安装后轮驱动单元。请参阅驱动单元 - 后（拆卸和安装）。,安装后轮驱动单元。请参阅驱动单元 - 后（拆卸和安装）。
40012602,5,检查车轮定位，并根据需要进行调节。请参阅四轮定位检查。,检查车轮定位，并根据需要进行调节。请参阅四轮定位检查。
40012402,1,拆下后轮驱动单元。请参阅驱动单元 - 后（拆卸和安装）。,拆下后轮驱动单元。请参阅驱动单元 - 后（拆卸和安装）。
40012402,2,将后驱动单元置于空的后驱动单元箱上方。,将后驱动单元置于空的后驱动单元箱上方。
40012402,3,在 RH 套管上安装套管拆卸工具。,在 RH 套管上安装套管拆卸工具。
40012402,4,将其他螺母固定在适当位置的同时，用扳手转动轴承侧套管拆卸工具螺母。,将其他螺母固定在适当位置的同时
40012402,4,将其他螺母固定在适当位置的同时，用扳手转动轴承侧套管拆卸工具螺母。,用扳手转动轴承侧套管
40012402,4,将其他螺母固定在适当位置的同时，用扳手转动轴承侧套管拆卸工具螺母。,拆卸工具螺母
40012402,5,在套管已从驱动单元推出后，分离套管拆卸工具，然后将其从驱动单元上拆下。,分离套管拆卸工具
40012402,5,在套管已从驱动单元推出后，分离套管拆卸工具，然后将其从驱动单元上拆下。,然后将其从驱动单元上拆下
40012402,1,安装套管工具，以套上新的套管。,安装套管工具
40012402,1,安装套管工具，以套上新的套管。,以套上新的套管
40012402,2,旋转止推垫圈上的螺母以在驱动单元上套上新的套管。,旋转止推垫圈上的螺母
40012402,2,旋转止推垫圈上的螺母以在驱动单元上套上新的套管。,以在驱动单元上套上新的套管
40012402,3,分离套管工具，然后从驱动单元上拆下。,分离套管工具
40012402,3,分离套管工具，然后从驱动单元上拆下。,然后从驱动单元上拆下
40012402,4,安装后轮驱动单元。请参阅驱动单元 - 后（拆卸和安装）。,安装后轮驱动单元。请参阅驱动单元 - 后（拆卸和安装）。
40012402,5,检查车轮定位，并根据需要进行调节。请参阅四轮定位检查。,检查车轮定位，并根据需要进行调节。请参阅四轮定位检查。
40012002,1,从车上拆下后副框架总成。请参阅副框架总成 - 后（拆卸和安装）,从车上拆下后副框架总成。请参阅副框架总成 - 后（拆卸和安装）
40012002,2,使用橡胶块或木块居中支撑后驱动单元。,使用橡胶块或木块居中支撑后驱动单元。
